"train/epoch","ecoli_full_finetuning_esm2_8m - _step","ecoli_full_finetuning_esm2_8m - _step__MIN","ecoli_full_finetuning_esm2_8m - _step__MAX","ecoli_full_finetuning_esm2_8m - eval/loss","ecoli_full_finetuning_esm2_8m - eval/loss__MIN","ecoli_full_finetuning_esm2_8m - eval/loss__MAX","ecoli_full_finetuning_esm2_8m - train/loss","ecoli_full_finetuning_esm2_8m - train/loss__MIN","ecoli_full_finetuning_esm2_8m - train/loss__MAX"
"500","0.5","0","1","4.463773250579834","4.463773250579834","4.463773250579834","0.499","0.499","0.499"
"750","2.5","2","3","5.238562107086182","5.238562107086182","5.238562107086182","0.124","0.124","0.124"
"1000","4.5","4","5","5.820143222808838","5.820143222808838","5.820143222808838","0.0604","0.0604","0.0604"
"1250","6.5","6","7","5.907036781311035","5.907036781311035","5.907036781311035","0.0392","0.0392","0.0392"
"1500","8.5","8","9","5.824716567993164","5.824716567993164","5.824716567993164","0.0278","0.0278","0.0278"
"1750","10.5","10","11","6.319608688354492","6.319608688354492","6.319608688354492","0.0236","0.0236","0.0236"
"2000","12.5","12","13","6.268892765045166","6.268892765045166","6.268892765045166","0.0191","0.0191","0.0191"
"2250","14.5","14","15","6.42983341217041","6.42983341217041","6.42983341217041","0.0166","0.0166","0.0166"
"2500","16.5","16","17","6.398308753967285","6.398308753967285","6.398308753967285","0.0157","0.0157","0.0157"
"2750","18.5","18","19","6.7048845291137695","6.7048845291137695","6.7048845291137695","0.0132","0.0132","0.0132"
"3000","20.5","20","21","6.631695747375488","6.631695747375488","6.631695747375488","0.0116","0.0116","0.0116"
"3250","22.5","22","23","7.133569240570068","7.133569240570068","7.133569240570068","0.0112","0.0112","0.0112"
"3500","24.5","24","25","7.017630100250244","7.017630100250244","7.017630100250244","0.0094","0.0094","0.0094"
"3750","26.5","26","27","7.086930274963379","7.086930274963379","7.086930274963379","0.0071","0.0071","0.0071"
"4000","28.5","28","29","7.065277099609375","7.065277099609375","7.065277099609375","0.008","0.008","0.008"
"4250","30.5","30","31","6.819518089294434","6.819518089294434","6.819518089294434","0.0068","0.0068","0.0068"
"4500","32.5","32","33","6.892988681793213","6.892988681793213","6.892988681793213","0.0048","0.0048","0.0048"
"4750","34.5","34","35","7.5916428565979","7.5916428565979","7.5916428565979","0.0056","0.0056","0.0056"
"5000","36.5","36","37","7.438835144042969","7.438835144042969","7.438835144042969","0.0038","0.0038","0.0038"
"5250","38.5","38","39","7.2072248458862305","7.2072248458862305","7.2072248458862305","0.0035","0.0035","0.0035"
"5500","40.5","40","41","7.1796088218688965","7.1796088218688965","7.1796088218688965","0.0033","0.0033","0.0033"
"5750","42.5","42","43","7.645015716552734","7.645015716552734","7.645015716552734","0.0028","0.0028","0.0028"
"6000","44.5","44","45","7.536813259124756","7.536813259124756","7.536813259124756","0.0021","0.0021","0.0021"
