gene identity  sequences  clusters  largest_cluster  singleton_clusters
topA      40%       9648         2             7030                   0
topA      70%       9648        11             6810                   4
topA      80%       9648        52             5343                  17
topA      90%       9648       265             3705                  87
topA      95%       9648       624             1254                 263
yeiB      40%       2541         1             2541                   0
yeiB      70%       2541        19             2128                   2
yeiB      80%       2541        38             1260                   9
yeiB      90%       2541        62             1234                  18
yeiB      95%       2541       102             1178                  33
spoT      40%       3912         1             3912                   0
spoT      70%       3912        49             2698                  13
spoT      80%       3912       108             2261                  32
spoT      90%       3912       285             1048                 123
spoT      95%       3912       537             1360                 284
dgoA      40%       9657         1             9657                   0
dgoA      70%       9657       542             2666                 232
dgoA      80%       9657      1242             1695                 678
dgoA      90%       9657      2185              748                1366
dgoA      95%       9657      3035              578                2076

Wrote: results/mmseqs_sweep/cluster_sweep_summary.tsv
