gene,identity_threshold,sequences,clusters,largest_cluster,largest_cluster_fraction,singleton_clusters
dgoA,40,9657,1,9657,1.0,0
dgoA,70,9657,542,2666,0.27606917262089675,232
dgoA,80,9657,1242,1695,0.17552034793414104,678
dgoA,90,9657,2185,748,0.07745676711193952,1366
dgoA,95,9657,3035,578,0.059852956404680545,2076
spoT,40,3912,1,3912,1.0,0
spoT,70,3912,49,2698,0.6896728016359919,13
spoT,80,3912,108,2261,0.5779652351738241,32
spoT,90,3912,285,1048,0.26789366053169733,123
spoT,95,3912,537,1360,0.3476482617586912,284
topA,40,9648,2,7030,0.728648424543947,0
topA,70,9648,11,6810,0.7058457711442786,4
topA,80,9648,52,5343,0.5537935323383084,17
topA,90,9648,265,3705,0.3840174129353234,87
topA,95,9648,624,1254,0.12997512437810946,263
yeiB,40,2541,1,2541,1.0,0
yeiB,70,2541,19,2128,0.837465564738292,2
yeiB,80,2541,38,1260,0.49586776859504134,9
yeiB,90,2541,62,1234,0.48563557654466744,18
yeiB,95,2541,102,1178,0.4635970090515545,33
