gene,cluster_id,split,size
topA,WP_192849614,train,1254
topA,WP_042318669,train,1195
topA,WP_411175772,train,780
topA,WP_216989813,train,439
topA,WP_029805460,train,371
topA,WP_331806136,train,197
topA,WP_425635646,train,191
topA,WP_105025272,train,173
topA,WP_338855483,train,159
topA,WP_162855923,train,147
topA,WP_335857258,train,145
topA,WP_265621301,train,133
topA,WP_224717509,train,130
topA,WP_182694102,train,120
topA,WP_311751804,train,93
topA,WP_054419580,train,92
topA,WP_101766884,train,92
topA,WP_409389409,train,91
topA,WP_110808998,train,85
topA,WP_039232450,train,78
topA,WP_130252650,train,77
topA,WP_093983169,train,64
topA,WP_214177186,train,64
topA,WP_223497776,train,63
topA,WP_173244486,train,58
yeiB,WP_023908539,train,1178
yeiB,WP_223561051,train,291
yeiB,WP_303751653,train,190
yeiB,WP_411763371,train,107
yeiB,WP_023619761,train,78
yeiB,WP_410387936,val,62
yeiB,WP_273821721,test,57
yeiB,WP_221552756,test,43
yeiB,WP_115348713,val,34
yeiB,WP_275381105,train,27
yeiB,WP_253168813,train,22
yeiB,WP_237560107,val,21
yeiB,WP_312773628,test,20
yeiB,WP_337278491,train,20
yeiB,WP_456176910,val,19
yeiB,WP_210182706,test,18
yeiB,WP_112860077,val,15
yeiB,WP_203121951,train,15
yeiB,WP_288144859,test,15
yeiB,WP_211884986,val,14
yeiB,WP_112894846,train,14
yeiB,WP_166686724,train,13
yeiB,WP_369476070,test,13
yeiB,WP_272690484,val,12
yeiB,WP_435134448,test,11
spoT,WP_197393654,train,1360
spoT,WP_440004803,train,194
spoT,WP_000280459,train,85
spoT,WP_239414162,train,73
spoT,WP_002209002,train,63
spoT,WP_023653276,train,59
spoT,WP_368870557,train,58
spoT,WP_008139659,train,58
spoT,WP_047683457,train,58
spoT,WP_129317639,train,57
spoT,WP_004956765,train,53
spoT,WP_390379563,train,49
spoT,WP_060993375,train,39
spoT,WP_140474811,train,37
spoT,WP_445495899,train,36
spoT,WP_413484316,train,36
spoT,WP_153499053,train,33
spoT,WP_166218915,train,29
spoT,WP_274872496,train,29
spoT,WP_340129408,train,29
spoT,WP_232567678,train,29
spoT,WP_371354246,train,24
spoT,WP_121575203,train,24
spoT,WP_124025577,train,24
spoT,WP_394193665,train,24
dgoA,WP_196316277,train,578
dgoA,WP_480042216,train,250
dgoA,WP_255068174,train,208
dgoA,WP_429480524,train,205
dgoA,WP_416719819,train,194
dgoA,WP_047354915,train,130
dgoA,WP_268011136,train,111
dgoA,WP_078537960,train,97
dgoA,WP_001198745,train,95
dgoA,WP_060077139,train,93
dgoA,WP_164070215,train,76
dgoA,WP_174993286,train,71
dgoA,WP_039308092,train,70
dgoA,WP_048230083,train,66
dgoA,WP_286732322,train,62
dgoA,WP_207171884,train,61
dgoA,WP_146379339,train,60
dgoA,WP_072125848,train,54
dgoA,WP_060233858,train,52
dgoA,WP_169490960,train,52
dgoA,WP_159811515,train,50
dgoA,WP_164676835,train,46
dgoA,WP_224376268,train,44
dgoA,WP_076716888,train,41
dgoA,WP_262789303,train,39
