seq_id	cluster_id	split
WP_197393654	WP_197393654	train
WP_096217214	WP_197393654	train
WP_277393034	WP_197393654	train
WP_264687573	WP_197393654	train
WP_128448173	WP_197393654	train
WP_276396984	WP_197393654	train
WP_021518067	WP_197393654	train
WP_436403995	WP_197393654	train
WP_053881907	WP_197393654	train
WP_181672877	WP_197393654	train
WP_107193164	WP_197393654	train
WP_000280465	WP_197393654	train
WP_137647514	WP_197393654	train
WP_340441712	WP_197393654	train
WP_105632905	WP_197393654	train
WP_059277641	WP_197393654	train
WP_204619809	WP_197393654	train
WP_273813889	WP_197393654	train
WP_149450492	WP_197393654	train
WP_124782682	WP_197393654	train
WP_059258598	WP_197393654	train
WP_273812581	WP_197393654	train
WP_059242282	WP_197393654	train
WP_058668291	WP_197393654	train
WP_104868011	WP_197393654	train
WP_047460231	WP_197393654	train
WP_449079579	WP_197393654	train
WP_080097156	WP_197393654	train
WP_335901865	WP_197393654	train
WP_257858774	WP_197393654	train
WP_135425974	WP_197393654	train
WP_097369018	WP_197393654	train
WP_079786169	WP_197393654	train
WP_057483591	WP_197393654	train
WP_016505748	WP_197393654	train
WP_099825973	WP_197393654	train
WP_039500058	WP_197393654	train
WP_274882583	WP_197393654	train
WP_252305013	WP_197393654	train
WP_000280480	WP_197393654	train
WP_122029718	WP_197393654	train
WP_138625303	WP_197393654	train
WP_085354391	WP_197393654	train
WP_080214309	WP_197393654	train
WP_080069876	WP_197393654	train
WP_061202066	WP_197393654	train
WP_409324226	WP_197393654	train
WP_080107999	WP_197393654	train
WP_076927146	WP_197393654	train
WP_065675077	WP_197393654	train
WP_118998305	WP_197393654	train
WP_483646289	WP_197393654	train
WP_183048420	WP_197393654	train
WP_392357308	WP_197393654	train
WP_146644702	WP_197393654	train
WP_080225819	WP_197393654	train
WP_058113804	WP_197393654	train
WP_024798925	WP_197393654	train
WP_463605515	WP_197393654	train
WP_000280467	WP_197393654	train
WP_061450939	WP_197393654	train
WP_150363257	WP_197393654	train
WP_046598864	WP_197393654	train
WP_108477252	WP_197393654	train
WP_000280498	WP_197393654	train
WP_080067232	WP_197393654	train
WP_473647992	WP_197393654	train
WP_303083416	WP_197393654	train
WP_070999673	WP_197393654	train
WP_308302782	WP_197393654	train
WP_430724997	WP_197393654	train
WP_393964192	WP_197393654	train
WP_016715991	WP_197393654	train
WP_079786695	WP_197393654	train
WP_199275094	WP_197393654	train
WP_080181380	WP_197393654	train
WP_183071258	WP_197393654	train
WP_392496615	WP_197393654	train
WP_438795411	WP_197393654	train
WP_127173314	WP_197393654	train
WP_063887333	WP_197393654	train
WP_000280481	WP_197393654	train
WP_265278982	WP_197393654	train
WP_016507313	WP_197393654	train
WP_070827919	WP_197393654	train
WP_308313222	WP_197393654	train
WP_053305037	WP_197393654	train
WP_191968835	WP_197393654	train
WP_023181614	WP_197393654	train
WP_104856749	WP_197393654	train
WP_080075710	WP_197393654	train
WP_000280461	WP_197393654	train
WP_080070371	WP_197393654	train
WP_043992321	WP_197393654	train
WP_000280500	WP_197393654	train
WP_203439192	WP_197393654	train
WP_486441304	WP_197393654	train
WP_269720192	WP_197393654	train
WP_301970513	WP_197393654	train
WP_439008159	WP_197393654	train
WP_122822037	WP_197393654	train
WP_023235381	WP_197393654	train
WP_342688426	WP_197393654	train
WP_053230825	WP_197393654	train
WP_080183859	WP_197393654	train
WP_263936135	WP_197393654	train
WP_097176763	WP_197393654	train
WP_479561749	WP_197393654	train
WP_109218233	WP_197393654	train
WP_001714181	WP_197393654	train
WP_154080060	WP_197393654	train
WP_371245849	WP_197393654	train
WP_139783104	WP_197393654	train
WP_200644874	WP_197393654	train
WP_094204726	WP_197393654	train
WP_444429108	WP_197393654	train
WP_343097219	WP_197393654	train
WP_038635422	WP_197393654	train
WP_137397420	WP_197393654	train
WP_006687635	WP_197393654	train
WP_323605332	WP_197393654	train
WP_343648480	WP_197393654	train
WP_049855996	WP_197393654	train
WP_148386173	WP_197393654	train
WP_039080106	WP_197393654	train
WP_090083577	WP_197393654	train
WP_115464636	WP_197393654	train
WP_354691656	WP_197393654	train
WP_108700441	WP_197393654	train
WP_071195081	WP_197393654	train
WP_395035986	WP_197393654	train
WP_110910472	WP_197393654	train
WP_105424121	WP_197393654	train
WP_004873076	WP_197393654	train
WP_440767614	WP_197393654	train
WP_420693200	WP_197393654	train
WP_191974965	WP_197393654	train
WP_278223106	WP_197393654	train
WP_025713931	WP_197393654	train
WP_411547892	WP_197393654	train
WP_322256649	WP_197393654	train
WP_032731497	WP_197393654	train
WP_077723960	WP_197393654	train
WP_102017439	WP_197393654	train
WP_004205080	WP_197393654	train
WP_348857824	WP_197393654	train
WP_277461084	WP_197393654	train
WP_281131350	WP_197393654	train
WP_110224328	WP_197393654	train
WP_265779414	WP_197393654	train
WP_255084221	WP_197393654	train
WP_117074869	WP_197393654	train
WP_032414067	WP_197393654	train
WP_004151503	WP_197393654	train
WP_231535081	WP_197393654	train
WP_136053299	WP_197393654	train
WP_101857210	WP_197393654	train
WP_255086063	WP_197393654	train
WP_004150214	WP_197393654	train
WP_117086767	WP_197393654	train
WP_484495559	WP_197393654	train
WP_234282617	WP_197393654	train
WP_107331960	WP_197393654	train
WP_217332678	WP_197393654	train
WP_420527263	WP_197393654	train
WP_004210824	WP_197393654	train
WP_157173773	WP_197393654	train
WP_243817343	WP_197393654	train
WP_255894558	WP_197393654	train
WP_305242882	WP_197393654	train
WP_102063469	WP_197393654	train
WP_042632431	WP_197393654	train
WP_104442678	WP_197393654	train
WP_486516647	WP_197393654	train
WP_114271213	WP_197393654	train
WP_253891808	WP_197393654	train
WP_201196914	WP_197393654	train
WP_196976723	WP_197393654	train
WP_179108474	WP_197393654	train
WP_407252739	WP_197393654	train
WP_148849796	WP_197393654	train
WP_142513443	WP_197393654	train
WP_289178102	WP_197393654	train
WP_411301915	WP_197393654	train
WP_196568058	WP_197393654	train
WP_162122286	WP_197393654	train
WP_196550786	WP_197393654	train
WP_186385455	WP_197393654	train
WP_004855514	WP_197393654	train
WP_431665823	WP_197393654	train
WP_004106928	WP_197393654	train
WP_142981651	WP_197393654	train
WP_367171893	WP_197393654	train
WP_289191723	WP_197393654	train
WP_417640686	WP_197393654	train
WP_264822886	WP_197393654	train
WP_049591466	WP_197393654	train
WP_224257106	WP_197393654	train
WP_241186565	WP_197393654	train
WP_196562122	WP_197393654	train
WP_325927792	WP_197393654	train
WP_447638250	WP_197393654	train
WP_438335009	WP_197393654	train
WP_406916073	WP_197393654	train
WP_115239111	WP_197393654	train
WP_004126679	WP_197393654	train
WP_154975468	WP_197393654	train
WP_342702658	WP_197393654	train
WP_196548939	WP_197393654	train
WP_368758904	WP_197393654	train
WP_219677530	WP_197393654	train
WP_289193220	WP_197393654	train
WP_014227257	WP_197393654	train
WP_112216036	WP_197393654	train
WP_196555853	WP_197393654	train
WP_336043722	WP_197393654	train
WP_194854678	WP_197393654	train
WP_148405828	WP_197393654	train
WP_024359707	WP_197393654	train
WP_311103759	WP_197393654	train
WP_139538385	WP_197393654	train
WP_220398514	WP_197393654	train
WP_313063214	WP_197393654	train
WP_312973721	WP_197393654	train
WP_313715088	WP_197393654	train
WP_161659538	WP_197393654	train
WP_312983278	WP_197393654	train
WP_313081313	WP_197393654	train
WP_313047208	WP_197393654	train
WP_203120759	WP_197393654	train
WP_284973820	WP_197393654	train
WP_269772189	WP_197393654	train
WP_312583962	WP_197393654	train
WP_183172015	WP_197393654	train
WP_002436667	WP_197393654	train
WP_313668211	WP_197393654	train
WP_165463527	WP_197393654	train
WP_165431491	WP_197393654	train
WP_312559603	WP_197393654	train
WP_125295017	WP_197393654	train
WP_105884732	WP_197393654	train
WP_311888092	WP_197393654	train
WP_427651387	WP_197393654	train
WP_409541382	WP_197393654	train
WP_393969049	WP_197393654	train
WP_396018646	WP_197393654	train
WP_089695885	WP_197393654	train
WP_373384297	WP_197393654	train
WP_180556563	WP_197393654	train
WP_437263599	WP_197393654	train
WP_044694464	WP_197393654	train
WP_413932085	WP_197393654	train
WP_238086803	WP_197393654	train
WP_262934701	WP_197393654	train
WP_440717762	WP_197393654	train
WP_438331310	WP_197393654	train
WP_262942853	WP_197393654	train
WP_021555798	WP_197393654	train
WP_128551518	WP_197393654	train
WP_137501904	WP_197393654	train
WP_052925016	WP_197393654	train
WP_202792851	WP_197393654	train
WP_000280473	WP_197393654	train
WP_400247786	WP_197393654	train
WP_368493317	WP_197393654	train
WP_097422987	WP_197393654	train
WP_454078851	WP_197393654	train
WP_353528437	WP_197393654	train
WP_225393682	WP_197393654	train
WP_449541176	WP_197393654	train
WP_047355969	WP_197393654	train
WP_333077273	WP_197393654	train
WP_014168043	WP_197393654	train
WP_113858305	WP_197393654	train
WP_032652106	WP_197393654	train
WP_003860921	WP_197393654	train
WP_248849555	WP_197393654	train
WP_325802692	WP_197393654	train
WP_148420441	WP_197393654	train
WP_232960550	WP_197393654	train
WP_333015863	WP_197393654	train
WP_063855623	WP_197393654	train
WP_290337913	WP_197393654	train
WP_058673179	WP_197393654	train
WP_479416458	WP_197393654	train
WP_310835257	WP_197393654	train
WP_445445426	WP_197393654	train
WP_316147929	WP_197393654	train
WP_192474443	WP_197393654	train
