seq_id	cluster_id	split
WP_101624527	WP_101624527	val
WP_116318379	WP_116318379	test
WP_317922145	WP_116318379	test
WP_343214340	WP_343214340	val
WP_477866772	WP_477866772	train
WP_277187013	WP_277187013	test
WP_113438899	WP_113438899	val
WP_113443164	WP_113438899	val
WP_286658988	WP_286658988	val
WP_369794712	WP_369794712	test
WP_114009317	WP_114009317	train
WP_138147407	WP_114009317	train
WP_442219001	WP_442219001	test
WP_072339317	WP_072339317	val
WP_483528346	WP_483528346	test
WP_142252504	WP_142252504	train
WP_100178276	WP_142252504	train
WP_061501925	WP_061501925	val
WP_121095877	WP_121095877	val
WP_200686919	WP_200686919	test
WP_106159076	WP_106159076	val
WP_437421977	WP_437421977	val
WP_243606943	WP_437421977	val
WP_128253387	WP_128253387	train
WP_335661780	WP_335661780	test
WP_292950806	WP_335661780	test
WP_136805975	WP_136805975	train
WP_292932693	WP_292932693	test
WP_167686975	WP_167686975	train
WP_415465776	WP_415465776	train
WP_237954464	WP_415465776	train
WP_415505710	WP_415465776	train
WP_271115817	WP_271115817	test
WP_286295978	WP_286295978	train
WP_263007928	WP_286295978	train
WP_115734013	WP_286295978	train
WP_114686817	WP_114686817	train
WP_207141660	WP_207141660	test
WP_053146169	WP_053146169	val
WP_123636067	WP_123636067	test
WP_203143741	WP_123636067	test
WP_106205673	WP_106205673	train
WP_048435804	WP_048435804	train
WP_223799410	WP_223799410	train
WP_139077744	WP_139077744	train
WP_292547112	WP_292547112	train
WP_473625692	WP_292547112	train
WP_287316929	WP_292547112	train
WP_091591915	WP_292547112	train
WP_473644210	WP_292547112	train
WP_287139956	WP_292547112	train
WP_287254546	WP_292547112	train
WP_287213894	WP_292547112	train
WP_254017680	WP_292547112	train
WP_473494597	WP_292547112	train
WP_254024730	WP_292547112	train
WP_287175728	WP_292547112	train
WP_287072000	WP_292547112	train
WP_077375745	WP_292547112	train
WP_473747823	WP_292547112	train
WP_473482022	WP_292547112	train
WP_128174802	WP_292547112	train
WP_287175163	WP_292547112	train
WP_236370824	WP_292547112	train
WP_287055244	WP_292547112	train
WP_287120265	WP_292547112	train
WP_287235914	WP_292547112	train
WP_473548255	WP_292547112	train
WP_473610172	WP_292547112	train
WP_123146041	WP_292547112	train
WP_103950162	WP_103950162	train
WP_285146279	WP_103950162	train
WP_282494054	WP_103950162	train
WP_285157746	WP_103950162	train
WP_285155047	WP_103950162	train
WP_285151062	WP_103950162	train
WP_202674920	WP_103950162	train
WP_103947843	WP_103950162	train
WP_123709482	WP_123709482	train
WP_367980002	WP_123709482	train
WP_045853750	WP_123709482	train
WP_404680973	WP_123709482	train
WP_133600256	WP_123709482	train
WP_241722555	WP_123709482	train
WP_159871591	WP_123709482	train
WP_375215620	WP_123709482	train
WP_095102407	WP_123709482	train
WP_148251290	WP_123709482	train
WP_421672999	WP_123709482	train
WP_234579270	WP_123709482	train
WP_367975787	WP_123709482	train
WP_167690991	WP_123709482	train
WP_132729129	WP_123709482	train
WP_426813698	WP_123709482	train
WP_041143327	WP_123709482	train
WP_331839302	WP_123709482	train
WP_128876851	WP_123709482	train
WP_421637094	WP_421637094	train
WP_086533052	WP_421637094	train
WP_014167963	WP_421637094	train
WP_196356173	WP_421637094	train
WP_410392949	WP_421637094	train
WP_079231551	WP_421637094	train
WP_063214941	WP_421637094	train
WP_333098540	WP_421637094	train
WP_410377718	WP_421637094	train
WP_431075770	WP_421637094	train
WP_447857667	WP_421637094	train
WP_148576835	WP_421637094	train
WP_032680045	WP_421637094	train
WP_333193416	WP_421637094	train
WP_252070167	WP_421637094	train
WP_106503587	WP_421637094	train
WP_251884866	WP_421637094	train
WP_020882749	WP_421637094	train
WP_342864717	WP_421637094	train
WP_207968563	WP_421637094	train
WP_068795365	WP_421637094	train
WP_429862664	WP_421637094	train
WP_410395501	WP_421637094	train
WP_150343632	WP_421637094	train
WP_309951812	WP_421637094	train
WP_279257925	WP_421637094	train
WP_410378614	WP_421637094	train
WP_422714494	WP_421637094	train
WP_480042216	WP_480042216	train
WP_032425341	WP_480042216	train
WP_080784236	WP_480042216	train
WP_325081868	WP_480042216	train
WP_285214189	WP_480042216	train
WP_004151527	WP_480042216	train
WP_270104413	WP_480042216	train
WP_229297738	WP_480042216	train
WP_410139161	WP_480042216	train
WP_348852930	WP_480042216	train
WP_065762249	WP_480042216	train
WP_111531297	WP_480042216	train
WP_126000444	WP_480042216	train
WP_047078166	WP_480042216	train
WP_133318534	WP_480042216	train
WP_151584141	WP_480042216	train
WP_310972107	WP_480042216	train
WP_200111533	WP_480042216	train
WP_430998956	WP_480042216	train
WP_064177434	WP_480042216	train
WP_480127315	WP_480042216	train
WP_087874841	WP_480042216	train
WP_072421447	WP_480042216	train
WP_126028560	WP_480042216	train
WP_216502452	WP_480042216	train
WP_065801096	WP_480042216	train
WP_221018616	WP_480042216	train
WP_481270079	WP_480042216	train
WP_274921315	WP_480042216	train
WP_229982421	WP_480042216	train
WP_049059247	WP_480042216	train
WP_259925713	WP_480042216	train
WP_221396299	WP_480042216	train
WP_286129932	WP_480042216	train
WP_233943716	WP_480042216	train
WP_117080775	WP_480042216	train
WP_447542529	WP_480042216	train
WP_252919238	WP_480042216	train
WP_248756188	WP_480042216	train
WP_350427614	WP_480042216	train
WP_040173414	WP_480042216	train
WP_285203620	WP_480042216	train
WP_047080118	WP_480042216	train
WP_279914757	WP_480042216	train
WP_048269619	WP_480042216	train
WP_171789290	WP_480042216	train
WP_032439070	WP_480042216	train
WP_082229132	WP_480042216	train
WP_141490070	WP_480042216	train
WP_480089746	WP_480042216	train
WP_416266093	WP_480042216	train
WP_480102527	WP_480042216	train
WP_064152021	WP_480042216	train
WP_115197231	WP_480042216	train
WP_121567907	WP_480042216	train
WP_151498571	WP_480042216	train
WP_087828001	WP_480042216	train
WP_047054195	WP_480042216	train
WP_335886133	WP_480042216	train
WP_343461473	WP_480042216	train
WP_325917317	WP_480042216	train
WP_480137470	WP_480042216	train
WP_032715356	WP_480042216	train
WP_308061540	WP_480042216	train
WP_256799919	WP_480042216	train
WP_218789931	WP_480042216	train
WP_108432876	WP_480042216	train
WP_214163750	WP_480042216	train
WP_369072065	WP_480042216	train
WP_117009338	WP_480042216	train
WP_045389032	WP_480042216	train
WP_064147242	WP_480042216	train
WP_148405325	WP_480042216	train
WP_369781247	WP_480042216	train
WP_096813146	WP_480042216	train
WP_427371509	WP_480042216	train
WP_267678960	WP_480042216	train
WP_049053713	WP_480042216	train
WP_147047446	WP_480042216	train
WP_163312521	WP_480042216	train
WP_254242499	WP_480042216	train
WP_029884215	WP_480042216	train
WP_223065554	WP_480042216	train
WP_248221316	WP_480042216	train
WP_102085838	WP_480042216	train
WP_126033524	WP_480042216	train
WP_159185988	WP_480042216	train
WP_484494733	WP_480042216	train
WP_285284284	WP_480042216	train
WP_062920363	WP_480042216	train
WP_004181595	WP_480042216	train
WP_429914484	WP_480042216	train
WP_320944616	WP_480042216	train
WP_117101553	WP_480042216	train
WP_334262271	WP_480042216	train
WP_480088404	WP_480042216	train
WP_448064209	WP_480042216	train
WP_171483847	WP_480042216	train
WP_438344203	WP_480042216	train
WP_038992262	WP_480042216	train
WP_130951007	WP_480042216	train
WP_316424949	WP_480042216	train
WP_045378096	WP_480042216	train
WP_047037686	WP_480042216	train
WP_277457884	WP_480042216	train
WP_142485707	WP_480042216	train
WP_213709787	WP_480042216	train
WP_481269082	WP_480042216	train
WP_374014433	WP_480042216	train
WP_234246258	WP_480042216	train
WP_049056643	WP_480042216	train
WP_023279349	WP_480042216	train
WP_462612954	WP_480042216	train
WP_117250051	WP_480042216	train
WP_480036112	WP_480042216	train
WP_015369041	WP_480042216	train
WP_270959101	WP_480042216	train
WP_342148630	WP_480042216	train
WP_213794856	WP_480042216	train
WP_048993966	WP_480042216	train
WP_021465594	WP_480042216	train
WP_069339418	WP_480042216	train
WP_416266310	WP_480042216	train
WP_180350444	WP_480042216	train
WP_260836976	WP_480042216	train
WP_213317675	WP_480042216	train
WP_417645935	WP_480042216	train
WP_094487830	WP_480042216	train
WP_101982774	WP_480042216	train
WP_087847658	WP_480042216	train
WP_064188369	WP_480042216	train
WP_032417695	WP_480042216	train
WP_087858877	WP_480042216	train
WP_320480563	WP_480042216	train
WP_156727192	WP_480042216	train
WP_004173849	WP_480042216	train
