seq_id	cluster_id	split
WP_192849614	WP_192849614	train
WP_180478707	WP_192849614	train
WP_114435652	WP_192849614	train
WP_097453058	WP_192849614	train
WP_097737660	WP_192849614	train
WP_064236980	WP_192849614	train
WP_063628500	WP_192849614	train
WP_284095477	WP_192849614	train
WP_257189850	WP_192849614	train
WP_473255045	WP_192849614	train
WP_105955866	WP_192849614	train
WP_181674596	WP_192849614	train
WP_473050847	WP_192849614	train
WP_097504823	WP_192849614	train
WP_272415908	WP_192849614	train
WP_482424766	WP_192849614	train
WP_187213353	WP_192849614	train
WP_406584343	WP_192849614	train
WP_414771148	WP_192849614	train
WP_205898086	WP_192849614	train
WP_099145180	WP_192849614	train
WP_264717374	WP_192849614	train
WP_433819496	WP_192849614	train
WP_447490038	WP_192849614	train
WP_175147456	WP_192849614	train
WP_461212578	WP_192849614	train
WP_149842459	WP_192849614	train
WP_094249227	WP_192849614	train
WP_258313836	WP_192849614	train
WP_447568113	WP_192849614	train
WP_407907601	WP_192849614	train
WP_001304419	WP_192849614	train
WP_088170549	WP_192849614	train
WP_181678784	WP_192849614	train
WP_206245930	WP_192849614	train
WP_032179017	WP_192849614	train
WP_373344221	WP_192849614	train
WP_001385318	WP_192849614	train
WP_063611907	WP_192849614	train
WP_089635203	WP_192849614	train
WP_097766031	WP_192849614	train
WP_232806482	WP_192849614	train
WP_089587500	WP_192849614	train
WP_197910568	WP_192849614	train
WP_135527765	WP_192849614	train
WP_112039181	WP_192849614	train
WP_336491487	WP_192849614	train
WP_407860731	WP_192849614	train
WP_115185544	WP_192849614	train
WP_001573409	WP_192849614	train
WP_433288905	WP_192849614	train
WP_423705385	WP_192849614	train
WP_409386272	WP_192849614	train
WP_116585611	WP_192849614	train
WP_096178328	WP_192849614	train
WP_087497953	WP_192849614	train
WP_096982656	WP_192849614	train
WP_112049928	WP_192849614	train
WP_032221027	WP_192849614	train
WP_113402806	WP_192849614	train
WP_137568171	WP_192849614	train
WP_016247142	WP_192849614	train
WP_027662585	WP_192849614	train
WP_100028632	WP_192849614	train
WP_096948356	WP_192849614	train
WP_167817622	WP_192849614	train
WP_204653398	WP_192849614	train
WP_063269393	WP_192849614	train
WP_220400654	WP_192849614	train
WP_112979004	WP_192849614	train
WP_012421655	WP_192849614	train
WP_217823505	WP_192849614	train
WP_001761127	WP_192849614	train
WP_079399463	WP_192849614	train
WP_032191162	WP_192849614	train
WP_410203555	WP_192849614	train
WP_104806687	WP_192849614	train
WP_434105751	WP_192849614	train
WP_016239518	WP_192849614	train
WP_061348823	WP_192849614	train
WP_061350308	WP_192849614	train
WP_420509885	WP_192849614	train
WP_310984986	WP_192849614	train
WP_340584467	WP_192849614	train
WP_097561735	WP_192849614	train
WP_243050989	WP_192849614	train
WP_128475606	WP_192849614	train
WP_443462592	WP_192849614	train
WP_001347791	WP_192849614	train
WP_170908221	WP_192849614	train
WP_059340867	WP_192849614	train
WP_050016524	WP_192849614	train
WP_115455889	WP_192849614	train
WP_001428676	WP_192849614	train
WP_136758401	WP_192849614	train
WP_105463404	WP_192849614	train
WP_239965035	WP_192849614	train
WP_286502523	WP_192849614	train
WP_112039406	WP_192849614	train
WP_078166360	WP_192849614	train
WP_069917268	WP_192849614	train
WP_128458764	WP_192849614	train
WP_370561643	WP_192849614	train
WP_275212093	WP_192849614	train
WP_032169931	WP_192849614	train
WP_462063882	WP_192849614	train
WP_065807689	WP_192849614	train
WP_160379793	WP_192849614	train
WP_105076130	WP_192849614	train
WP_054250542	WP_192849614	train
WP_061360079	WP_192849614	train
WP_097296041	WP_192849614	train
WP_135563249	WP_192849614	train
WP_096942927	WP_192849614	train
WP_001361672	WP_192849614	train
WP_268582918	WP_192849614	train
WP_001295576	WP_192849614	train
WP_137505405	WP_192849614	train
WP_097329986	WP_192849614	train
WP_167737002	WP_192849614	train
WP_122367646	WP_192849614	train
WP_104696594	WP_192849614	train
WP_431082856	WP_192849614	train
WP_225469297	WP_192849614	train
WP_126709993	WP_192849614	train
WP_040089153	WP_192849614	train
WP_311002028	WP_192849614	train
WP_353524410	WP_192849614	train
WP_282057851	WP_192849614	train
WP_216404963	WP_192849614	train
WP_137528197	WP_192849614	train
WP_123873082	WP_192849614	train
WP_097156398	WP_192849614	train
WP_097743229	WP_192849614	train
WP_021518705	WP_192849614	train
WP_136499942	WP_192849614	train
WP_012311849	WP_192849614	train
WP_353533309	WP_192849614	train
WP_115439001	WP_192849614	train
WP_257119995	WP_192849614	train
WP_001383172	WP_192849614	train
WP_247143598	WP_192849614	train
WP_330499393	WP_192849614	train
WP_196315974	WP_192849614	train
WP_088543100	WP_192849614	train
WP_231337759	WP_192849614	train
WP_125272887	WP_192849614	train
WP_001684861	WP_192849614	train
WP_113525321	WP_192849614	train
WP_032280486	WP_192849614	train
WP_262941083	WP_192849614	train
WP_136792849	WP_192849614	train
WP_105455593	WP_192849614	train
WP_096907971	WP_192849614	train
WP_033552514	WP_192849614	train
WP_001591966	WP_192849614	train
WP_426653086	WP_192849614	train
WP_374057141	WP_192849614	train
WP_241233303	WP_192849614	train
WP_233334912	WP_192849614	train
WP_311011633	WP_192849614	train
WP_001423441	WP_192849614	train
WP_250346733	WP_192849614	train
WP_222698304	WP_192849614	train
WP_270369158	WP_192849614	train
WP_097731269	WP_192849614	train
WP_136697595	WP_192849614	train
WP_210173332	WP_192849614	train
WP_473001896	WP_192849614	train
WP_115177131	WP_192849614	train
WP_080317285	WP_192849614	train
WP_097761299	WP_192849614	train
